"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"EZH2",8.595,6.915,8.674,5.688,8.998,7.372,7.813,8.417,8.937,8.396,6.985,8.724,7.793,8.336,8.37,8.499,8.167,8.326,8.186,8.642,9.049,9.238,7.74,7.154,8.389,8.565,8.174
"F2RL1",7.474,7.622,1.879,3.85,5.225,4.164,6.843,5.362,4.363,6.345,5.722,6.537,8.35,8.296,6.1,6.389,7.555,6.443,6.584,6.589,5.378,6.068,5.428,4.441,8.231,5.81,5.456
"FADD",6.497,6.848,6.307,4.877,7.24,6.248,6.528,7.277,7.392,6.687,6.859,6.84,7.81,8.425,6.601,6.896,7.142,6.301,6.529,6.413,6.855,6.908,6.861,6.226,7.618,4.81,6.981
"FAM124B",4.841,2.587,3.364,4.056,4.789,4.842,4.903,5.791,3.1,3.722,6.307,5.866,4.922,5.893,4.861,5.141,4.639,6.443,5.529,5.359,5.212,4.628,5.806,5.664,7.618,4.81,4.334
"FAM30A",3.28,2.523,2.142,3.319,1.839,4.427,2.451,5.749,3.237,4.822,5.722,6.376,3.274,3.843,4.575,5.949,2.58,5.35,4.151,7.553,5.378,4.82,4.221,4.519,8.575,8.058,7.545
"FANCA",7.056,6.563,6.487,6.247,7.812,8.448,6.451,8.673,9.334,8.901,8.57,7.297,6.967,7.109,7.764,9.821,6.728,7.552,8.529,7.725,7.112,8.775,8.005,5.316,5.116,5.98,7.263
"FAP",6.458,4.193,3.926,5.237,4.772,4.69,4.007,6.417,4.478,4.64,8.258,7.05,7.2,6.808,5.124,9.542,6.841,8.7,6.414,6.725,8.243,6.464,5.769,5.886,6.99,5.98,6.456
"FAS",6.253,4.172,4.016,5.688,3.772,5.353,4.221,6.443,5.865,4.389,7.354,5.537,5.274,7.219,4.918,7.048,5.433,6.087,5.151,6.244,6.314,6.575,5.806,6.249,8.888,5.132,5.494
"FASLG",2.128,2.312,0.557,2.471,1.964,3.327,1.685,4.121,1.778,1.832,5.722,5.687,3.952,3.45,3.861,5.311,1.732,4.25,4.151,4.118,3.439,2.82,3.521,2.593,4.531,3.81,4.053
"FBP1",10.281,11.258,9.144,5.779,8.349,10.605,9.828,9.551,9.64,9.338,8.792,10.287,11.012,8.087,10.559,8.909,8.945,9.998,8.958,12.216,10.939,10.681,10.401,10.806,9.438,9.365,11.054
"FCAR",3.206,3.349,3.644,5.749,3.424,6.028,3.685,6.054,5.363,4.417,6.792,4.054,4.411,4.151,6.025,6.229,3.87,6.572,5.151,6.636,5.176,7.28,6.076,7.566,8.66,7.058,4.104
"FCGR1A",7.676,5.94,6.943,8.166,6.237,7.112,6.508,7.662,4.778,2.789,9.087,8.733,9.449,6.462,7.48,7.351,7.01,8.827,6.288,7.613,6.82,6.213,7.262,9.591,7.231,7.058,7.564
"FCGR2A",10.04,8.899,8.573,9.303,8.57,9.915,7.745,10.088,9.864,7.759,12.823,11.27,12.725,10.622,9.956,11.237,9.883,12.415,8.038,10.592,10.806,9.95,10.227,12.481,10.769,9.876,10.423
"FCGR2B",8.679,6.925,5.747,3.542,6.256,7.833,5.543,6.277,7.072,5.539,9.667,8.838,10.363,9.399,9.892,9.454,6.585,8.71,6.636,9.114,8.734,8.548,8.379,10.142,9.054,7.269,8.499
"FCGR3A/B",9.738,7.835,8.012,9.169,8.154,7.791,6.903,10.442,7.45,6.516,11.055,11.1,10.442,9.667,10.511,9.633,9.136,11.575,7.255,10.543,9.017,8.854,9.834,11.823,10.769,10.039,9.459
"FCGRT",10.532,9.274,7.542,9.126,8.986,10.474,9.446,9.857,10.542,10.196,10.6,11.128,11.135,9.944,10.208,10.38,9.098,10.677,10.028,10.292,10.082,10.453,10.261,12.485,7.99,9.395,10.025
"FCN1",3.046,4.312,4.601,3.471,4.262,6.149,7.969,4.749,4.585,4.789,6.924,6.649,7.624,5.926,5.075,6.601,3.54,7.818,5.529,4.746,7.247,8.01,8.73,9.396,8.054,12.583,7.296
"FCRL2",3.543,3.064,1.879,3.237,2.187,7.295,9.919,7.247,5.45,5.466,8.609,6.663,9.271,8.154,5.305,6.999,1.58,5.144,4.636,6.589,6.194,8.03,8.865,3.857,8.054,7.668,4.831
"FGF13",5.778,5.119,6.891,8.625,8.242,4.729,6.937,5.306,5.17,4.22,6.207,5.322,4.922,6.473,4.124,6.999,2.41,2.443,5.151,4.244,3.314,5.628,4.843,6.026,6.99,5.617,2.947
"FGF18",5.148,3.707,2.879,4.397,1.964,3.607,2.685,4.569,5.755,4.59,5.985,2.024,3.455,3.357,3.861,6.463,2.41,4.25,5.529,4.359,5.687,6.521,5.947,3.441,7.923,5.132,5.638
"FGF9",4.128,5.283,4.74,5.807,1.187,4.877,3.611,4.749,3.585,4.417,4.985,2.024,4.011,3.538,3.217,5.141,1.732,4.765,5.529,3.466,3.855,5.99,5.947,4.272,8.923,4.395,2.416
"FGFR1",5.753,4.618,6.776,8.26,8.457,8.399,6.764,7.334,7.044,5.578,7.955,7.931,6.356,6.754,6.112,8.936,5.487,7.71,6.414,7.085,6.963,6.344,7.554,7.937,8.116,5.617,5.801
"FLNB",11.494,10.427,9.432,8.402,10.256,10.499,9.085,9.569,10.982,10.356,7.444,9.071,10.247,9.462,10.105,9.048,8.523,10.805,10.34,11.571,10.427,8.929,10.979,10.172,9.438,8.482,10.123
"FLT1",9.358,7.727,6.72,8.329,9.192,8.787,8.009,9.485,7.436,8.697,8.072,9.07,8.793,9.485,8.151,8.551,9.398,9.648,6.636,8.714,9.572,6.99,9.513,9.471,7.923,7.058,9.311
"FOSL1",5.024,6.502,4.22,6.489,7.231,7.497,6.029,8.501,7.464,4.935,8.377,8.124,6.742,10.03,6.387,7.389,9.484,8.043,5.829,5.944,7.112,6.908,7.193,8.735,11.054,6.717,6.165
"FOXP3",2.766,2.707,2.672,2.319,2.964,3.22,1.948,5.185,4.026,4.473,6.722,4.668,4.496,5.64,5.075,6.601,2.58,5.835,4.151,5.566,5.212,5.142,4.521,4.664,7.338,4.395,5.104
"FPR1",8.691,5.89,7.487,8.995,7.052,7.695,6.391,8.891,5.1,5.268,10.503,8.809,9.321,7.847,8.183,8.095,8.659,10.541,6.584,7.725,7.773,7.653,8.348,10.156,8.575,10.228,7.079
"FPR3",7.631,7.195,6.142,4.931,6.445,7.739,6.769,8.216,5.907,5.284,9.354,9.698,10.149,8.5,8.737,8.756,7.025,10.588,5.636,9.992,7.947,6.99,7.759,10.269,8.66,6.98,8.492
"FSTL3",7.634,4.273,3.329,5.435,3.589,6.805,2.756,5.749,5.559,4.12,7.758,6.098,5.122,7.065,6.063,7.141,5.926,9.013,5.288,6.118,6.264,4.142,5.328,6.698,5.531,5.395,5.689
"FUT4",6.271,6,3.902,4.982,7.365,6.353,4.611,6.443,6.708,6.049,7.307,6.047,5.274,5.559,6.112,7.949,5.317,7.531,6.584,6.413,6.121,6.628,7.554,6.93,9.203,5.617,5.89
"FYN",8.696,5.812,8.963,10.912,10.244,11.005,4.963,9.72,5.8,7.681,10.428,9.297,5.25,7.645,9.278,8.961,7.025,9.814,7.783,10.106,10.825,6.344,9.029,9.717,8.701,10.611,9.502
"FZD8",6.401,4.764,5.472,4.957,5.212,5.912,5.482,6.216,5.301,6.089,6.859,5.417,5.367,4.357,4.972,8.27,3.498,5.028,6.221,5.566,5.102,7.068,4.328,4.664,9.085,5.132,5.027
"FZD9",8.098,3.764,4.972,4.542,3.508,4.564,2.948,4.121,4.363,6.196,5.722,4.947,2.174,1.772,2.539,5.463,3.054,4.613,5.414,5.703,3.176,4.82,3.521,4.441,8.438,2.81,4.604
"GAS1",3.28,2.97,3.257,3.85,3.737,4.607,3.363,5.054,4.1,5.284,7.487,3.797,4.367,4.66,4.427,9.25,3.054,6.028,5.916,5.182,5.14,6.405,3.328,4.731,9.364,5.81,3.246
"GBP1",7.807,8.288,5.608,7.807,7.726,9.182,7.088,8.604,8.153,6.229,9.685,9.687,6.967,8.225,7.828,7.869,6.728,9.38,6.829,9.504,8.863,7.405,8.452,8.996,8.116,7.717,8.706
"GBP2",8.586,7.805,6.472,7.753,8.721,10.277,8.029,10.088,9.429,8.392,11.277,10.133,9.329,8.686,10.288,9.516,10.92,10.945,9.399,11.713,9.348,9.575,9.087,10.081,8.485,12.397,8.623
"GBP4",7.95,7.167,5.181,6.172,7.426,7.127,5.451,9.121,7.006,7.333,9.498,9.558,6.333,7.93,8.954,7.974,8.827,9.46,6.584,10.664,8.616,5.142,7.691,7.079,7.618,6.98,8.955
"GHR",3.543,2.871,3.753,5.126,3.134,4.327,6.446,5.121,3.478,4.925,6.207,3.963,2.537,3.91,3.465,6.533,5.268,4.25,5.414,4.981,3.176,5.99,4.428,4.731,8.66,2.81,3.053
"GIMAP4",9.048,7.143,7.329,8.059,7.715,7.815,7.078,10.43,7.485,7.925,11.377,9.982,9.376,9.351,9.601,9.152,7.906,10.471,7.077,10.286,9.314,7.653,8.619,9.815,9.338,10.236,9.016
"GIMAP6",5.778,4.473,4.902,5.559,4.934,5.012,4.703,6.417,4.301,5.146,7.354,6.998,7.032,5.99,6.315,5.726,5.305,7.35,4.414,7.331,5.498,5.727,5.565,6.972,7.779,6.717,5.223
"GLI1",3.046,2.151,2.431,1.957,2.549,3.607,2.064,3.832,3.237,3.745,5.985,2.346,3.068,2.91,3.025,6.311,1.995,4.25,4.999,3.466,3.761,4.142,3.328,3.731,7.116,5.132,2.416
"GLS",11.06,9.371,6.789,8.637,6.154,9.897,8.779,10.998,9.106,8.096,10.394,7.919,6.759,9.304,9.244,10.538,6.529,9.454,9.817,10.474,8.039,8.589,10.328,7.202,9.701,6.395,6.994
"GLUD1",10.056,9.204,10.051,11.063,9.606,10.645,9.574,10.309,8.814,10.216,9.207,10.019,11.212,10.189,9.402,9.576,10.313,9.974,8.895,9.778,8.491,8.99,8.874,9.769,10.231,9.039,8.911
"GLUL",11.924,11.856,13.175,13.998,12.113,13.818,12.738,13.374,12.387,12.509,15.757,13.746,14.384,14.152,13.912,14.037,10.583,14.596,12.188,14.323,13.502,14.027,13.534,15.705,12.762,11.665,12.513
"GMIP",4.659,4.664,3.779,4.507,3.187,5.497,3.408,5.706,5.363,5.012,6.722,5.247,5.122,5.357,6.1,6.726,4.785,6.087,5.829,6.681,4.899,5.628,6.498,5.557,8.438,7.395,4.416
"GNG4",4.046,1.97,7.819,6.995,6.594,5.192,1.948,4.569,3.685,3.389,5.4,3.247,3.174,3.258,3.61,5.949,3.965,4.25,5.916,4.244,3.942,5.142,3.521,3.972,6.338,3.81,2.568
"GNLY",5.45,4.982,4.181,3.609,4.839,6.178,10.694,8.791,6.532,5.778,9.058,6.814,5.793,6.689,6.861,6.311,3.054,6.198,4.829,6.359,5.687,6.678,6.98,5.079,8.175,10.531,6.235
"GOT1",8.3,8.461,9.84,11.114,8.919,9.261,8.997,8.616,8.241,9.133,9.155,8.692,10.177,9.266,8.175,8.024,9.426,8.276,8.649,9.38,9.574,10.344,7.989,8.795,8.338,7.202,8.82
"GOT2",8.232,9.356,9.17,9.647,8.053,8.381,9.83,9.236,7.407,8.042,9.207,9.069,10.191,9.345,8.681,9.445,9.084,8.263,8.636,8.577,8.929,9.255,7.521,8.685,9.485,6.395,8.232
"GPC4",9.53,5.523,8.317,5.194,7.979,7.22,11.383,7.247,9.233,8.488,7.044,10.783,9.59,9.975,11.215,9.507,5.98,8.013,7.038,9.403,8.646,8.435,7.608,5.13,8.286,6.617,7.344
"GPR160",10.401,11.064,7.8,4.397,9.691,6.72,9.525,7.306,6.392,9.893,6.792,8.199,9.453,7.445,7.9,8.741,9.485,6.613,7.414,8.767,7.394,7.548,9.193,7.491,8.923,8.617,8.396
"GPSM3",8.005,9.475,6.946,7.199,7.001,7.987,8.351,8.593,7.566,7.884,8.377,8,9.248,8.001,7.749,7.756,6.508,8.935,8.383,9.097,9.047,7.653,8.745,9.807,8.575,10.194,9.147
"GZMA",4.088,3.896,3.495,2.85,4.772,4.327,2.685,7.291,1.778,3.853,6.722,6.998,5.859,3.357,4.465,3.726,2.111,5.25,3.414,4.466,6.14,3.405,3.98,5.359,5.531,5.98,6.55
"GZMB",2.418,1.97,2.495,2.471,2.286,2.105,0.685,2.984,3.478,0.552,6.487,3.994,2.537,3.151,3.539,4.463,1.58,3.765,3.829,2.659,1.855,2.82,2.843,3.972,4.531,8.132,3.334
"GZMH",3.543,3.386,3.181,2.957,3.467,3.105,2.171,5.247,1.778,3.102,5.859,4.779,3.068,1.772,2.918,4.141,0.995,4.765,4.151,4.981,4.102,3.82,3.98,4.079,6.99,8.302,4.801
"GZMK",3.865,3.312,2.972,2.957,3.333,5.22,3.064,8.037,4.301,5.188,9.283,7.065,5.04,4.772,6.521,7.696,4.243,7.224,3.414,6.659,7.893,4.82,5.73,5.079,7.531,9.058,6.714
"GZMM",2.766,2.764,3.994,3.149,2.839,4.275,1.171,4.832,2.585,5.012,6.648,3.527,1.952,3.772,4.347,4.726,1.218,4.765,4.829,5.051,4.609,6.521,3.328,4.272,8.116,5.98,3.638
"H2AFX",6.785,7.492,8.196,7.109,6.763,5.474,6.007,5.871,6.436,6.69,6.648,7.039,6.867,7.29,6.075,6.785,6.866,5.765,6.352,4.359,6.761,6.575,6.354,7.142,8.531,6.132,6.344
"HAVCR2",8.163,6.519,7.08,7.537,5.941,6.815,6.819,7.966,3.865,4.664,8.044,9.257,9.568,8.028,7.484,7.229,7.243,8.562,5.999,7.413,7.149,7.213,7.452,10.226,8.485,8.236,7.365
"HCK",8.126,7.052,7.005,8.516,6.723,9.236,7.506,10.187,7.135,5.92,11.487,9.503,10.64,8.381,9.789,9.301,7.627,10.735,6.783,8.607,9.007,8.854,9.818,11.046,9.413,9.604,9.233
"HDAC11",6.93,6.386,7.057,9.116,6.187,8.288,6.221,6.832,7.421,6.814,7.859,8.032,7.406,8.005,6.817,7.27,6.841,6.531,5.151,6.118,7.083,7.247,6.711,7.714,8.66,5.395,6.911
"HDAC3",8.267,8.082,7.945,7.843,8.767,8.362,8.911,8.668,7.648,8.721,7.529,8.65,9.299,9.065,7.741,7.869,8.783,8.443,8.077,7.387,8.428,8.641,8.269,7.999,8.701,8.876,8.113
"HDAC4",7.276,6.618,7.312,8.095,6.407,6.542,6.798,7.507,6.117,5.146,6.924,6.619,6.31,6.296,6.503,5.842,6.605,6.903,6.736,6.703,6.439,5.521,6.404,7.226,5.853,7.058,6.28
"HDAC5",7.133,6.603,7.051,7.839,6.1,7.791,5.815,7.348,6.937,8.078,8.55,7.26,6.389,6.918,7.427,7.633,6.691,7.613,7.255,7.302,6.409,6.28,7.87,7.755,6.338,8.269,7.263
"HDC",3.418,2.818,3.398,3.397,2.379,3.607,6.518,3.469,2.778,3.171,5.985,3.527,10.213,6.708,3.918,5.311,1.87,5.35,4.151,4.566,5.378,5.727,3.106,4.972,7.531,5.132,3.153
"HELLS",8.541,8.112,8.15,6.149,8.236,8.278,7.451,9.417,10.858,9.17,9.331,8.198,7.401,7.942,8.437,10.44,7.832,8.691,8.255,9.232,8.264,9.628,7.98,6.13,8.74,8.132,6.762
"HERC6",8.3,8.713,6.435,7.825,7.365,9.979,6.781,8.037,9.775,7.708,9.695,7.634,7.624,9.987,7.217,9.27,5.62,8.432,6.916,10.146,6.832,7.068,7.208,7.249,6.531,7.668,7.079
"HES1",8.138,8.535,9.147,7.278,10.048,9.685,9.122,9.28,10.51,8.217,8.609,7.866,7.61,7.02,9.109,9.649,7.511,7.42,8.723,9.719,7.014,8.575,8.735,6.359,9.701,6.395,7.785
"HEY1",7.108,4.664,8.307,8.578,4.569,7.553,6.408,6.852,4.1,5.552,7.648,6.971,6.989,8.13,4.972,7.499,6.23,7.397,5.736,6.051,6.623,7.344,6.806,6.698,8.338,5.132,5.177
"HIF1A",10.774,10.178,11.026,10.545,11.195,10.705,12.963,11.969,11.064,9.782,11.587,12.327,12.997,11.775,11.125,11.002,12.32,11.339,10.594,11.252,10.847,11.409,9.985,11.187,10.721,12.871,10.759
"HK1",8.593,7.893,9.027,9.999,8.067,9.273,8.214,8.91,7.187,7.822,7.859,8.924,9.421,9.233,8.417,8.311,9.928,9.686,7.662,9.313,8.516,7.798,8.201,8.731,9.618,9.496,8.018
"HK2",7.944,6.603,5.977,5.969,10.03,8.047,6.488,6.639,6.886,7.668,8.648,7.569,8.457,8.054,8.59,7.785,7.364,7.633,10.105,8.935,9.829,9.142,7.452,10.852,8.888,7.132,8.357
"HLA-A",13.04,13.612,8.055,10.064,9.606,7.486,9.611,6.852,4.865,5.848,14.314,7.036,11.812,13.413,13.589,14.112,12.043,13.389,12.055,16.164,12.845,11.55,13.086,11.334,12.097,11.421,13.21
"HLA-B",13.883,14.472,10.67,11.2,13.663,14.473,11.585,15.392,14.532,14.123,13.716,14.882,14.922,15.45,15.419,14.966,13.81,15.999,12.637,16.548,14.429,13.273,14.398,14.219,12.112,13.577,14.69
"HLA-C",12.464,12.627,10.054,9.713,11.884,12.385,9.628,13.129,11.976,12.259,13.198,12.386,12.439,13.202,12.732,13.623,11.855,14.021,11.208,14.078,12.101,11.666,11.634,12.445,11.031,13.429,12.557
"HLA-DMA",11.175,12.209,8.058,8.592,8.46,12.537,11.644,12.233,10.675,11.393,13.801,12.232,13.36,13.663,12.498,13.335,10.529,12.509,11.4,13.698,12.003,13.319,11.488,11.812,10.564,11.194,12.004
"HLA-DMB",9.217,10.836,6.672,6.681,6.498,7.112,9.745,7.77,5.844,8.095,8.207,10.433,11.402,11.199,8.627,8.481,8.998,9.32,8.399,9.562,9.128,8.876,8.913,9.828,9.389,9.468,9.438
"HLA-DOA",7.158,8.899,3.994,5.471,5.847,6.427,6.323,6.728,2.585,2.832,5.4,6.779,8.584,8.519,5.832,5.842,4.476,7.301,5.414,5.413,7.23,8.296,5.843,7.316,6.531,7.51,8.71
"HLA-DOB",5.333,4.49,2.557,4.149,3.134,5.649,3.79,7.306,5.17,4.526,8.258,6.624,8.068,8.384,6.669,9.25,5.23,6.653,6.414,7.746,7.212,6.865,6.221,4.857,6.116,8.565,7.285
"HLA-DPA1",11.415,12.486,8.752,8.727,7.936,9.795,11.934,10.894,6.778,7.655,9.422,11.947,12.642,12.157,11.03,10.048,10.687,11.285,9.765,12.7,10.343,10.832,10.349,11.138,9.923,12.255,11.392
"HLA-DPB1",12.131,12.792,8.754,8.7,7.853,10.755,11.816,12.313,6.45,7.943,9.924,12.423,13.726,12.142,12.244,10.883,11.257,12.415,10.636,12.729,10.454,10.748,10.864,11.49,10.054,9.202,11.178
"HLA-DQA1",11.174,1.064,6.914,8.378,0.964,10.836,9.175,3.469,1.778,8.807,12.769,13.609,13.021,13.244,12.146,11.239,10.653,3.765,11.038,2.659,1.439,12.118,0.521,13.07,9.74,11.987,13.842
"HLA-DQA2",4.936,4.253,0.972,3.237,2.772,5.192,3.573,10.185,1.363,4.374,6.985,6.629,8.967,4.357,10.685,7.601,1.218,5.531,4.999,5.829,5.102,5.727,10.787,2.593,9.66,4.81,6.577
"HLA-DQB1",10.47,2.523,6.381,6.444,2.701,9.993,8.849,2.984,3.363,10.301,10.444,10.53,10.213,9.842,10.485,8.567,9.18,3.443,10.792,3.466,2.176,10.453,1.521,11.544,7.99,9.617,11.735
"HLA-DRA",13.51,14.458,10.255,10.813,10.43,12.258,14.001,13.632,8.261,12.577,12.37,14.594,15.204,14.415,14.127,13.211,13.074,14.301,12.622,15.074,13.455,12.905,13.245,14.114,12.093,13.755,14.166
"HLA-DRB1",12.935,12.63,9.133,10.386,9.706,13.433,13.058,14.311,9.407,13.118,12.723,13.333,14.429,13.602,14.117,12.482,12.783,14.601,12.987,12.687,10.088,12.717,12.592,14.081,11.153,12.328,13.822
"HLA-DRB5",13.688,1.871,8.835,10.428,9.333,13.271,12.971,13.781,13.167,12.546,15.823,4.687,14.055,8.625,2.387,5.726,12.985,4.25,13.46,14.886,14.119,16.096,3.521,14.254,6.701,12.635,14.57
"HLA-E",11.841,12.795,9.217,10.324,11.378,11.981,11.013,11.338,11.018,11.344,11.125,12.814,13.099,13.049,12.089,11.024,11.973,12.163,10.191,12.644,11.53,10.562,11.309,12.712,9.835,13.511,11.766
"HLA-F",9.649,10.22,5.902,8.129,9.683,11.951,7.043,12.569,11.728,10.938,13.157,10.073,9.29,11.194,11.908,14.431,8.416,13.601,10.364,13.775,10.502,11.003,11.732,9.785,11.272,9.019,10.722
"HMGA1",8.722,9.134,9.127,7.973,9.126,8.032,7.79,9.681,9.315,9.616,8.072,9.973,8.35,10.644,8.223,8.828,10.807,8.185,9.132,8.266,9.124,9.595,7.487,9.362,11.023,9.496,8.957
"HMGB1",7.267,7.635,6.431,7.215,4.934,5.912,7.477,6.088,3.237,5.445,6.307,6.907,6.135,5.6,4.709,7.186,6.492,5.443,5.916,4.746,6.761,6.521,6.013,6.249,6.99,7.269,6.475
"HNF1A",1.958,3.386,3.101,2.319,2.08,3.22,1.363,3.247,3.237,5.8,5.4,2.609,2.174,3.151,3.61,5.141,0.995,5.028,5.529,3.466,3.024,5.405,5.106,4.079,8.286,2.81,3.053
"HRAS",8.434,7.423,8.218,9.741,8.793,10.191,6.408,11.548,10.548,9.66,11.158,7.748,8.095,8.804,10.069,11.169,7.138,10.807,9.142,11.997,8.589,9.442,10.136,8.66,10.389,6.897,8.159
"HSD11B1",4.513,4.064,5.016,7.969,4.187,6.164,2.887,5.247,3.585,2.603,9.74,6.083,4.122,5.232,5.195,6.785,4.268,7.276,4.636,6.359,5.636,4.628,4.221,6.611,6.116,3.81,5.079
"ICAM1",12.885,10.398,8.12,7.715,6.016,11.996,10.546,8.563,9.886,6.341,8.307,11.719,12.148,11.675,11.883,8.024,10.249,8.541,8.095,10.48,10.705,9.238,9.529,10.342,9.597,9.365,11.163
"ICAM2",5.513,3.845,6.096,5.688,6.199,5.451,6.44,5.749,7.355,7.06,6.722,6.81,5.344,7.506,5.693,6.726,7.739,6.397,7.443,6.887,6.994,6.068,5.913,6.857,7.853,8.058,7.027
"ICAM3",8.741,6.587,5.76,5.359,4.508,6.353,6.867,7.749,5.907,6.333,7.258,7.532,7.652,7.439,7.914,7.389,8.675,7.765,6.636,9.616,6.921,6.99,7.65,6.901,8.286,8.939,7.06
"ICAM5",7.609,4.603,5.854,8.448,1.379,10.767,4.611,7.616,8.021,5.076,8.758,4.569,4.068,6.902,7.422,7.229,4.025,6.397,6.077,9.653,7.491,7.493,7.788,4.915,8.618,6.395,7.789
"ICOS",3.482,3.421,2.431,2.471,2.286,4.105,2.27,4.662,2.363,3.268,5.4,5.194,3.759,5.99,4.387,5.601,2.218,6.198,4.414,5.566,4.176,3.405,4.843,4.593,5.531,6.897,5.355
"ICOSLG",6.262,5.253,6.325,8.625,6.618,7.082,5.482,5.662,4.778,7.046,6.648,7.986,7.286,6.333,6.112,6.463,5.519,8.583,5.151,7.288,6.498,6.28,6.475,9.969,8.618,7.897,7.218
"ID4",7.947,6.74,8.7,9.511,8.555,9.038,5.184,5.791,5.865,6.396,8.4,7.624,6.785,5.45,6.206,7.567,9.187,6.869,7.352,6.331,6.809,3.82,6.947,7.655,6.116,4.395,5.436
"IDO1",5.841,5.018,2.779,3.471,5.199,6.474,11.197,7.138,11.269,5.526,10.545,11.153,9.436,9.142,6.584,10.879,4.025,6.488,5.636,10.315,6.785,10.049,9.466,5.664,7.338,5.395,7.066
"IER3",9.373,8.722,6.946,6.704,9.08,10.09,7.171,10.596,11.872,10.818,11.121,9.246,8.62,10.41,9.839,11.667,8.878,9.898,9.221,9.841,8.064,8.96,10.591,10.234,10.006,6.51,7.746
"IFI16",8.42,8.669,7.188,8.38,6.998,8.567,11.413,10.782,9.247,6.22,10.162,10.762,11.663,11.319,9.573,9.533,9.123,9.774,9.142,10.941,9.174,10.402,8.964,10.093,9.798,8.693,9.3
"IFI27",12,14.026,8.743,7.507,11.925,12.587,7.732,11.223,12.861,12.581,12.955,11.491,12.58,14.884,9.679,12.931,11.316,11.341,11.704,14.508,10.953,10.585,11.527,9.217,10.286,10.039,12.192
"IFI35",9.377,9.845,7.439,7.52,7.715,10.109,7.411,10.438,10.364,8.828,12.022,8.785,8.168,10.849,9.992,10.968,8.1,10.546,8.636,12.25,8.199,8.01,9.11,9.283,8.957,7.717,9.065
"IFI6",9.5,11.694,9.569,8.94,10.532,10.791,7.813,7.557,12.156,10.827,13.374,10.886,10.303,14.455,8.806,13.07,10.481,10.198,8.723,12.145,8.451,7.727,8.624,10.81,9.597,7.617,9.678
"IFIH1",8.871,8.978,7.164,7.247,8.372,8.327,8.335,8.575,9.195,10.107,9.962,9.281,9.054,10.677,8.962,9.542,9.866,9.386,8.487,11.59,8.098,8.087,8.309,9.199,9.364,7.98,8.623
"IFIT1",7.918,9.037,6.975,8.309,6.994,8.403,5.493,7.019,9.671,6.158,11.337,7.069,7.444,11.29,6.548,10.567,7.847,8.498,5.529,10.266,4.984,6.908,4.691,8.611,7.701,5.81,6.808
"IFIT2",7.454,6.678,5.08,6.471,4.286,6.649,4.918,5.121,5.844,4.944,7.758,8.389,6.455,9.752,6.217,7.311,7.598,7.276,6.288,8.498,5.212,6.213,5.379,9.687,8.853,7.395,5.568
"IFIT3",9.429,9.628,7.203,7.188,6.328,9.226,7.029,7.791,10.168,7.571,11.667,9.554,9.025,11.127,7.942,10.477,9.469,9.963,7.038,11.624,7.102,7.653,7.576,10.835,9.054,6.51,8.246
"IFITM1",9.325,10.279,9.172,8.489,7.812,8.494,14.533,9.284,9.124,8.932,12.074,10.783,13.817,13.144,9.394,12.192,9.688,10.559,10.487,12.91,9.773,11.886,9.064,9.403,10.054,11.683,11.136
"IFITM2",9.638,9.512,9.313,8.416,7.83,9.045,12.157,9.807,9.583,8.385,12.264,10.091,12.702,11.2,10.599,11.155,10.621,9.724,10.128,11.342,10.193,11.124,9.273,9.175,10.99,12.655,10.18
"IFNA1",1.958,1.386,2.364,3.609,1.549,3.607,1.948,2.984,2.585,3.603,5.985,2.346,1.689,3.035,3.025,5.463,1.41,3.028,4.829,2.659,1.439,4.142,1.521,3.441,7.99,2.81,2.416
"IFNAR1",9.591,9.428,8.666,9.365,8.139,9.206,9.975,9.288,7.932,7.913,8.283,9.511,9.729,9.315,8.519,9.06,9.528,9.231,8.584,8.985,7.706,7.405,8.701,9.785,7.116,10.585,8.147
